pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
14D;3932;r;Kopfhoerer;0;Ordner;0
3B;3315;l;Stethoskop;0;Fahrradhelm;0
10C;2517;r;Brille;0;Buerste;0
26C;3851;r;Taschenlampe;0;Gluehbirne;0
5C;3839;r;Blackroll;0;Foehn;0
25D;3285;r;Kaffemuehle;0;Kerze;0
24D;3878;r;Kanne;0;Blume;0
12B;2664;l;Fernglas;0;Kamera;0
21B;3502;l;Handy;0;Stift;0
4D;3723;r;Kiste ;0;Ventilator;1
11C;3316;r;Stuhl;0;Eimer;0
7B;2014;l;Thermoskanne;0;Toaster;0
18B;3384;l;Handbesen;0;Ukulele;0
20A;3702;l;Kissen;0;Schuessel;0
2C;2279;r;Zollstock ;0;Locher;0
8D;3165;r;Uhr;0;Marmelade;0
16A;3733;l;Geldbeutel;1;Muetze;0
19B;2943;l;Hut;0;Trommel;0
13B;3635;l;Laptop;1;Buch;0
22A;2167;l;Elefant;0;Feder;0
23A;3140;l;Hammer;0;Säege;1
17A;3957;l;Erdbeeren;0;Schuh;1
15D;2335;r;Wasserglas;0;Handtuch;1
6A;3333;l;Globus;1;Obstschale;1
1B;3057;l;Orange;1;Melone;1
9C;2385;r;Wasserflasche;0;Tasse;0
