pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
21A;3923;l;Stift;1;Handy;1
14B;2382;l;Ordner;1;Kopfhoerer;0
17B;3473;l;Schuh;1;Erdbeeren;1
26B;2155;l;Taschenlampe;1;Gluehbirne;1
1D;3209;r;Melone;1;Orange;1
2D;2925;r;Locher;0;Zollstock;1
24D;2616;r;Kanne;0;Blume;0
15C;2350;r;Handtuch;0;Wasserglas;0
9A;3405;l;Tasse;1;Wasserflasche;0
11A;3444;l;Eimer;0;Stuhl;0
3B;2779;l;Stethoskop;1;Fahrradhelm;1
16C;3144;r;Muetze;1;Geldbeutel;1
4A;3674;l;Kiste;0;Ventilator;0
23C;2803;r;Hammer;1;Saege;1
22B;2601;l;Feder;1;Elefant;1
18C;3143;r;Handbesen;0;Ukulele;0
12C;3643;r;Fernglas;0;Kamera;0
8A;2745;l;Uhr;0;Marmelade;0
7C;3487;r;Thermoskanne;0;Toaster ;0
20A;2509;l;Kissen;0;Schuessel;0
6D;3238;r;Globus;0;Obstschale;1
10D;3033;r;Buerste;0;Brille;0
13A;2139;l;Buch;1;Laptop;1
5C;2846;r;Blackroll;0;Foehn;0
25B;2031;l;Kerze;0;Kaffemuehle;1
19B;3377;l;Hut;1;Trommel;0
