trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;14D;14043,7;963,712727272727;599,085818181818;1;8335;0,437792441511698;0,186082783443311;0,149250149970006;0,0431913617276545;0,37037037037037;0,185185185185185;0,148148148148148;0,0740740740740741;294;5484;2018;1820;0;0;0;0,0666666666666667;0;0,166666666666667
2;3B;13426,6;967,61654676259;578,789208633094;1;8553;0,146732140769321;0;0,0948205308079037;0,0372968549047118;0,185185185185185;0;0,111111111111111;0,037037037037037;223;NA;1235;1908;0;0;0;0;0;0
3;10C;12609,4;975;585,2;1;8309;0,200746178842219;0,035503670718498;0;0,135876760139608;0,222222222222222;0,037037037037037;0;0,111111111111111;201;8017;NA;2100;0;0;0;0;0;0
4;26C;13960,3;968,132653061224;588,771428571428;1;8238;0,401432386501578;0,189366351056082;0,0332605001213887;0,079995144452537;0,310344827586207;0,241379310344828;0,0344827586206897;0,103448275862069;221;7651;1876;2227;0;0;0;0;0;0
5;5C;13943,7;974;593,9;1;8116;0,259487432232627;0,0213159191720059;0,0917939871858058;0,0783637259733859;0,21875;0,03125;0,0625;0,09375;213;9604;1062;1523;0,125;0,142857142857143;0;0;0;0
6;25D;13393,3;969,667741935484;587,68064516129;1;8236;0,530354541039339;0,101384167071394;0,194511898980087;0,0847498785818358;0,466666666666667;0,133333333333333;0,233333333333333;0,0666666666666667;175;827;1128;3482;0,111111111111111;0,0714285714285714;0,25;0;0;0
7;24D;13993,7;974,1;596;1;8391;0,343105708497199;0,139077583124777;0,0939101418186152;0,0998689071624359;0,258064516129032;0,193548387096774;0,0967741935483871;0,0967741935483871;334;203;1269;1494;0,214285714285714;0,142857142857143;0,285714285714286;0;0;0
8;12B;12776,1;970,7;581,6;1;8416;0,25;0,0205560836501901;0,0844819391634981;0,315470532319392;0,333333333333333;0,037037037037037;0,037037037037037;0,222222222222222;209;9827;1039;1818;0,1;0,111111111111111;0;0;0;0
9;21B;13626,8;977,994945848376;605,677256317689;1;8020;0,235411471321696;0,0311720698254364;0;0,132294264339152;0,233333333333333;0,0666666666666667;0;0,1;199;8999;NA;2520;0;0;0;0;0;0
10;4D;13843,6;969,880016488559;593,598285468469;0;8794;0,211848987946327;0,0617466454400728;0,0249033431885376;0,103252217420969;0,153846153846154;0,0769230769230769;0,0384615384615385;0,0769230769230769;199;5361;3383;6003;0;0;0;0,166666666666667;0;0,5
