vp;trial;timest;timeend;x;y;duration;roi
vpja57;1;345;902;73,1;-200,2;557;255000
vpja57;1;913;1778;77,8000000000001;-211,9;865;255000
vpja57;1;1834;2124;-288,5;42,0999999999999;290;0
vpja57;1;2160;2416;-303,2;168,6;256;255255000
vpja57;1;2436;2721;-259,4;174,2;285;255255000
vpja57;1;2728;3129;-247,5;183,6;401;255255000
vpja57;1;3193;3469;273,7;120,6;276;255
vpja57;1;3477;3689;267;150;212;255
vpja57;1;3766;3891;120,2;-152,1;125;2,55e+08
vpja57;1;3919;4128;104,8;-216,2;209;255000
vpja57;1;4146;4323;74,7;-215,4;177;255000
vpja57;1;4367;4768;-152,5;-254,7;401;0
vpja57;1;4819;5188;-431,1;-267;369;0
vpja57;1;5207;5378;-389,1;-327,4;171;0
vpja57;1;5461;5974;393,4;-253,6;513;0
vpja57;1;5989;6451;347,3;-245,9;462;0
vpja57;1;6494;6708;909,6;-23,8000000000001;214;NA
vpja57;1;6757;7240;284,3;89,4;483;0
vpja57;1;7265;7597;248,8;120,3;332;255
vpja57;1;7607;8467;252,7;138,9;860;255
vpja57;1;8476;8853;245,1;119,8;377;255
vpja57;1;8934;9201;-328,7;125,4;267;0
vpja57;1;9224;9491;-263;162,3;267;255255000
vpja57;1;9551;9842;-568,6;9,39999999999998;291;0
vpja57;1;9868;10000;-576,6;-52,1;132;0
vpja57;2;283;384;-86,0644663054562;-120,828348222571;101;2,55e+08
vpja57;2;410;1794;-127,064466305456;-131,228348222571;1384;2,55e+08
vpja57;2;1860;2148;46,6355336945438;-340,628348222571;288;0
vpja57;2;2202;2354;13,6355336945438;-92,4283482225706;152;0
vpja57;2;2379;2503;32,5355336945438;-21,5283482225706;124;0
vpja57;2;2556;2830;-356,864466305456;89,2716517774294;274;0
vpja57;2;2841;3083;-363,364466305456;89,0716517774295;242;0
vpja57;2;3115;3376;-390,664466305456;209,771651777429;261;0
vpja57;2;3413;3664;-374,364466305456;352,971651777429;251;255255000
vpja57;2;3741;3871;-124,364466305456;-133,528348222571;130;2,55e+08
vpja57;2;3894;4123;-136,264466305456;-147,428348222571;229;255000
vpja57;2;4189;4490;426,535533694544;-26,3283482225706;301;255
vpja57;2;4518;4847;340,935533694544;-2,02834822257057;329;255
vpja57;2;4870;5153;299,835533694544;32,7716517774294;283;255
vpja57;2;5231;5549;382,735533694544;108,771651777429;318;0
vpja57;2;5583;5813;260,135533694544;54,6716517774294;230;0
vpja57;2;5849;6086;332,935533694544;208,471651777429;237;0
vpja57;2;6102;6526;297,935533694544;227,571651777429;424;0
vpja57;2;6580;6759;98,6355336945437;-16,3283482225706;179;0
vpja57;2;6787;6920;15,8355336945438;-31,4283482225705;133;0
vpja57;2;6968;7221;-150,764466305456;-155,128348222571;253;255000
vpja57;2;7231;7630;-155,664466305456;-150,428348222571;399;255000
vpja57;2;7640;8339;-141,664466305456;-156,528348222571;699;255000
vpja57;2;8379;8707;-298,364466305456;-188,828348222571;328;0
vpja57;2;8724;8951;-324,664466305456;-172,528348222571;227;0
vpja57;2;9014;9269;67,8355336945438;-372,028348222571;255;0
vpja57;2;9292;9532;11,7355336945438;-339,428348222571;240;0
vpja57;2;9545;9708;-12,8644663054562;-333,428348222571;163;0
vpja57;2;9769;9914;406,735533694544;-418,128348222571;145;0
vpja57;2;9932;10000;435,535533694544;-404,828348222571;68;0
vpja57;3;206;378;-8;-222,7;172;255000
vpja57;3;401;680;-20,4000000000001;-249;279;255000
vpja57;3;687;967;-6,60000000000002;-248,6;280;255000
vpja57;3;983;1262;-28,4000000000001;-210,5;279;255000
vpja57;3;1352;1708;121,7;60,1;356;2,55e+08
vpja57;3;1733;1910;59,8;92,4;177;255255000
vpja57;3;1992;2252;316,3;229,1;260;0
vpja57;3;2288;2462;192,7;327,5;174;2,55e+08
vpja57;3;2508;2752;-0,400000000000091;217,6;244;255255000
vpja57;3;2815;3495;-466;291,8;680;255
vpja57;3;3574;3778;72;296,1;204;255255000
vpja57;3;3794;4068;30;308;274;255255000
vpja57;3;4078;4390;16,5999999999999;308,9;312;255255000
vpja57;3;4507;4824;-140,5;-215,5;317;0
vpja57;3;4865;5346;7,59999999999991;-254,4;481;255000
vpja57;3;5366;5792;-41,2;-238,2;426;255000
vpja57;3;5805;5975;-49;-269,1;170;255000
vpja57;3;5991;6122;-79,3000000000001;-271,3;131;255000
vpja57;3;6167;6514;-378,1;-211,3;347;0
vpja57;3;6546;6901;-459,3;-139,4;355;0
vpja57;3;6970;7241;-485,8;320,5;271;255
vpja57;3;7255;7657;-469,5;274;402;255
vpja57;3;7680;7848;-430,6;299,5;168;255
vpja57;3;7906;8200;76,5999999999999;208,8;294;255255000
vpja57;3;8228;8676;18;303,2;448;255255000
vpja57;3;8699;9344;61,5;300,7;645;255255000
vpja57;3;9367;9539;7,09999999999991;314,6;172;255255000
vpja57;3;9646;9843;2,79999999999995;-164,9;197;2,55e+08
vpja57;3;9879;9999;-14,3000000000001;-241,6;120;255000
vpja57;4;53;258;-8,59999999999991;-4,10000000000002;205;0
vpja57;4;283;1337;64,3000000000001;-38,8;1054;255000
vpja57;4;1399;1748;-397,4;-264,4;349;0
vpja57;4;1789;2014;-534,3;-159,1;225;0
vpja57;4;2067;2232;-299,9;-264,1;165;0
vpja57;4;2273;2543;-124,4;-332,2;270;0
vpja57;4;2594;2819;145,3;-314,9;225;0
vpja57;4;2863;3015;390,6;-284,7;152;0
vpja57;4;3042;3282;402,8;-206,2;240;0
vpja57;4;3308;3581;317,4;-189,7;273;0
vpja57;4;3590;3824;314,7;-198,5;234;0
vpja57;4;3857;4120;425,7;-216,3;263;0
vpja57;4;4190;4376;297,4;85,7;186;0
vpja57;4;4396;4963;267,3;115,5;567;0
vpja57;4;5016;5211;35,2;-94,9;195;255000
vpja57;4;5222;5749;59,2;-73,1;527;255000
vpja57;4;5790;6555;-48,0999999999999;77,6;765;255255000
vpja57;4;6588;6954;4,40000000000009;125;366;255255000
vpja57;4;7008;7319;48,3000000000001;-43,1999999999999;311;255000
vpja57;4;7345;7619;67,4000000000001;19,5;274;0
vpja57;4;7703;7950;309;74,6;247;0
vpja57;4;7968;8300;271,3;97,5;332;0
