vp;trial;pic;iti;blx;bly;blok
vpja57;1;12C;13177;948,9;566,7;1
vpja57;2;4D;13527,2;932,964466305456;567,628348222571;0
vpja57;3;9A;13093,5;941,7;570,1;1
vpja57;4;22C;14111;925,8;590,9;1
vpja57;5;16A;13660,7;930,655172413793;546,393103448276;1
vpja57;6;10C;12693,2;935,704232804233;569,222222222222;1
vpja57;7;5B;12676,6;922,8;556,3;1
vpja57;8;6A;13777,4;945,7;556,9;1
vpja57;9;1B;12776,6;929,2;573,7;1
vpja57;10;17D;13744;927,9;566,1;1
vpja57;11;21D;13777,4;929,591780821918;569,831506849315;1
vpja57;12;7B;12943,5;925,3;567,9;1
vpja57;13;15B;12843,3;919,5;566,8;1
vpja57;14;26D;12876,7;923,623148148148;593,349074074074;1
vpja57;15;13B;13227;911,1;537,448736462094;1
vpja57;16;3B;13527,2;930,4;572,4;1
vpja57;17;19A;12910;935,3;576,6;1
vpja57;18;20D;13210,3;929,8;581,6;1
vpja57;19;11D;13143,6;939,8;537,3;1
vpja57;20;24C;12776,6;951;567,1;1
vpja57;21;18A;12726,6;930,7;556,6;1
vpja57;22;14D;12676,6;935;582,1;1
vpja57;23;8D;13844,1;936,5;585;1
vpja57;24;23B;13026,8;939,5;565,1;1
vpja57;25;25A;13727,4;932,964466305456;567,628348222571;0
vpja57;26;2B;0;945,672857142857;567,635714285714;1
