trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;23A;13943,7;965,697074572784;598,297655265852;0;7878;0,298933739527799;0,0361766945925362;0,0812388931200812;0,149022594567149;0,277777777777778;0,0555555555555556;0,0833333333333333;0,111111111111111;495;7495;2435;3081;0;0;0;0;0;0
2;16A;13426,6;958,4;599,2;1;8595;0,178592204770215;0,0198952879581152;0,247236765561373;0,248632926119837;0,08;0,04;0,2;0,32;229;5820;1851;6040;0,25;0,5;0;0,25;0;0,5
3;17B;13526,6;967;595,6;1;8326;0,204419889502762;0;0,492913764112419;0,111938505885179;0,2;0;0,4;0,133333333333333;833;NA;602;289;0,333333333333333;0,333333333333333;NA;0;0;NA
4;9B;12642,7;965,976306620209;599,557142857143;1;8252;0,146994667959283;0,102278235579254;0,339554047503635;0,0741638390693165;0,1875;0,125;0,25;0,0625;230;4388;1078;3730;0,0909090909090909;0,166666666666667;0;0;0;0
5;26A;13876,9;959,3;598,2;1;8258;0,14870428675224;0,123637684669411;0,314361830951804;0,198716396221845;0,147058823529412;0,117647058823529;0,264705882352941;0,147058823529412;252;1472;1762;5012;0,1;0;0,2;0;0;0
6;2C;12475,9;972;606,2;1;6682;0,192906315474409;0,102813528883568;0,322807542651901;0;0,172413793103448;0,103448275862069;0,275862068965517;0;213;5910;1275;NA;0;0;0;0;0;0
7;7C;12609,3;965;591,5;1;7988;0,132949424136204;0;0,28943415122684;0,189158738107161;0,111111111111111;0;0,277777777777778;0,194444444444444;261;NA;1526;1094;0;0;NA;0,5;0,5;NA
8;12B;14093,8;965,870462633452;598,173309608541;1;8906;0,127779025376151;0;0;0,25724230855603;0,178571428571429;0;0;0,178571428571429;212;NA;NA;3946;0;0;NA;0;0;NA
9;4A;12259,1;964,837883959044;593,391467576792;1;8402;0,390264222804094;0,10247560104737;0,263032611283028;0,0464175196381814;0,375;0,125;0,21875;0,0625;398;233;1548;5347;0;0;0;0;0;0
10;22B;13276,4;967,8;603,2;1;8428;0,155078310393925;0,0638348362600854;0,16516373991457;0,105600379686758;0,114285714285714;0,0571428571428571;0,142857142857143;0,114285714285714;191;9433;941;4064;0,2;0,25;0;0,2;0,25;0
11;21A;12809,5;958,668259385666;598,276450511945;1;8452;0,263251301467108;0;0,29271178419309;0,020350212967345;0,34375;0;0,1875;0,03125;212;NA;2368;5151;0,0909090909090909;0,1;0;0;0;0
12;8B;12842,8;967,487234042553;603,534042553192;1;8303;0,355654582680959;0,011441647597254;0,262917017945321;0,232807419005179;0,342857142857143;0,0285714285714286;0,257142857142857;0,171428571428571;258;103;2248;4804;0;0;0;0;0;0
13;24C;13626,8;969,8;598,8;1;8476;0,226521944313355;0,117390278433223;0,224398301085418;0,0697262859839547;0,117647058823529;0,176470588235294;0,176470588235294;0,0588235294117647;341;39;1910;3424;0,3;0;0,5;0;0;0
14;18A;13293,1;968,302787456446;613,08362369338;1;8519;0,234299800446062;0,118323746918652;0,11984974762296;0,192393473412372;0,21875;0,125;0,15625;0,15625;292;197;1399;3155;0,0909090909090909;0;0,25;0;0;0
15;11B;13476,7;969,257553956834;594,218705035971;1;8158;0,278744790389801;0,0710958568276538;0;0,16241725913214;0,194444444444444;0,0833333333333333;0;0,138888888888889;363;228;NA;5353;0;0;0;0;0;0
16;5D;13243,1;970,4;603,4;1;8079;0,190122539918307;0,0293353137764575;0,219705409085283;0,169204109419483;0,125;0,03125;0,1875;0,15625;206;1823;1509;4147;0,2;0,25;0;0;0;0
17;19A;13393,2;965,697074572784;598,297655265852;0;6145;0,301871440195281;0,106427990235964;0,10626525630594;0,179658258746949;0,24;0,16;0,08;0,16;210;1217;4135;5593;0,111111111111111;0;0,25;0;0;0
18;1D;12709,4;957,6;600,1;1;8295;0,142374924653406;0,0444846292947559;0,335864978902954;0,136347197106691;0,0882352941176471;0,0882352941176471;0,323529411764706;0,0882352941176471;291;174;1581;6276;0,142857142857143;0,333333333333333;0;0;0;0
19;10A;12726,1;965,697074572784;598,297655265852;0;8342;0,267561735794773;0,0577799088947495;0,316350994965236;0,147087029489331;0,225806451612903;0,0967741935483871;0,290322580645161;0,129032258064516;200;7037;1663;3494;0,0909090909090909;0,142857142857143;0;0;0;0
