code;group;nvalid;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
vpja01;free;22;7414,18181818182;0,310204014375249;0,0844322211377937;0,0982173598989836;0,152818022371702;0,26959918851301;0,123386762513625;0,0821437207709201;0,130072354369944;646,181818181818;752,35;1924,08333333333;2737,42105263158;0,034202602952603;0,02089072543618;0,0392496392496392;0,0524870962370963;0,031404958677686;0,113492063492063
vpja02;mem;25;8196,36;0,234635729840642;0,115535184853366;0,0997376104943127;0,146155470932939;0,215701722759812;0,13911070080298;0,0760089167012456;0,12719061971825;851,28;2603,95833333333;1927,59090909091;2299,66666666667;0,0617647907647908;0,0943809523809524;0,0451388888888889;0,0624920634920635;0,0566666666666666;0,0833333333333333
vpja03;free;25;7945,56;0,18093022702643;0,069640849577688;0,0800207366484691;0,0921238054956295;0,154292493589823;0,0888544312341696;0,079191660403466;0,0890933030675383;1570;2085,15;3044,04545454545;3136,28571428571;0,0487619047619048;0,028;0,0648268398268398;0,0503015873015873;0;0,153030303030303
vpja04;mem;26;8482,65384615385;0,388456161029245;0,136467377592506;0,103580437728274;0,138048902765318;0,362447082097594;0,142811422836429;0,102566745883607;0,137445108697193;253,692307692308;2521,24;1264,63636363636;1938,30769230769;0,0658464434052601;0,0675486826951461;0,0534722222222222;0,0496803955920551;0,0535195690961945;0,050218837535014
vpja05;free;23;8312,4347826087;0,201512328008041;0,0592923857803708;0,25881106535661;0,141553229702439;0,181488394098199;0,0680650714796675;0,225546693195032;0,130594137943263;326,173913043478;2078,88888888889;1557,47619047619;4283,40909090909;0,140049563962607;0,12536231884058;0,136842105263158;0,0461352657004831;0,0326086956521739;0,043859649122807
vpja06;mem;25;8395,72;0,26886265507003;0,0910688270426528;0,222539151725846;0,234470681175903;0,264985814432008;0,113138790221785;0,209755120719495;0,209971775591819;344,44;2136,55;1954,76;2287,52;0,149260184260184;0,155102707749767;0,13099173553719;0,0666262626262626;0,0479206349206349;0,10011961722488
vpja07;free;26;8348,46153846154;0,267263639511252;0,0747193934949589;0,0631502661318137;0,0830509055264574;0,240857404501188;0,0814944104540151;0,0719154873320945;0,0761770622092456;364,583333333333;2388,7;5043,55555555556;3441,41176470588;0,0265412472143241;0,0302925084175084;0,0102813852813853;0,0482522756278412;0,0157893032893033;0,0753968253968254
vpja08;mem;25;8520,6;0,130616421598174;0,00710583880646294;0,268979409627579;0,183448028483889;0,147587443027164;0,0195483393445017;0,218280996230221;0,158970795024417;274,36;2647,23076923077;1201;2598,92;0,156380952380952;0,227142857142857;0;0,0276666666666667;0,025;0,0227272727272727
vpja09;free;26;8450,46153846154;0,352397684315578;0,0735124275060728;0,0803902981115042;0,0615864508563248;0,277093489471206;0,106595595815499;0,0770456472332587;0,061439196169448;290,961538461538;1646,77272727273;2576,17391304348;3135,39130434783;0,04116204308512;0,0396367521367521;0,0468227424749164;0,0151098901098901;0,0251068376068376;0
vpja10;mem;26;7649,11538461538;0,234731932775557;0,0955055759021929;0,161074821260264;0,143111001070663;0,213784416765858;0,104063691203533;0,154200979553491;0,134902313598814;645,92;1648,08333333333;1226,23076923077;1473,125;0,121722188068342;0,151126984126984;0,043040293040293;0,0493149196203495;0,0375347985347986;0,0491452991452992
