code;bed;memgaze;memnogaze
vpja01;free;11;7
vpja02;mem;7;5
vpja03;free;1;6
vpja04;mem;11;11
vpja05;free;5;5
vpja06;mem;5;8
vpja07;free;4;4
vpja08;mem;13;11
vpja09;free;3;2
vpja10;mem;4;5
vpja11;free;7;7
vpja12;mem;6;7
vpja13;free;8;7
vpja14;mem;15;14
vpja15;free;4;4
vpja16;mem;3;5
vpja17;free;6;8
vpja18;mem;13;15
vpja19;free;6;8
vpja20;mem;9;10
vpja21;free;8;8
vpja22;mem;16;13
vpja23;free;4;5
vpja24;mem;8;10
vpja25;free;12;10
vpja26;mem;11;9
vpja27;free;2;3
vpja28;mem;14;11
vpja29;free;4;6
vpja30;mem;12;12
vpja31;free;3;5
vpja32;mem;7;5
vpja33;free;12;8
vpja34;mem;18;18
vpja35;free;11;8
vpja36;mem;3;5
vpja37;free;10;6
vpja38;mem;9;12
vpja39;free;2;6
vpja40;mem;7;9
vpja41;free;5;2
vpja42;mem;13;9
vpja43;free;5;6
vpja44;mem;5;3
vpja45;free;5;4
vpja46;mem;12;14
vpja47;free;7;5
vpja48;mem;8;11
vpja49;free;2;2
vpja50;mem;12;10
vpja51;free;5;6
vpja52;mem;6;4
vpja53;free;12;13
vpja54;mem;3;8
vpja55;free;8;1
vpja56;mem;10;7
vpja57;free;4;3
vpja58;mem;10;7
vpja59;free;5;7
vpja60;mem;3;3
vpja61;free;7;5
vpja62;mem;9;8
vpja63;free;5;4
vpja64;mem;4;3
vpja65;free;1;3
vpja66;mem;4;6
vpja67;free;7;5
vpja68;mem;8;8
vpja69;free;9;5
vpja70;mem;6;13
vpja71;free;4;5
vpja72;mem;9;11
vpja73;free;9;7
vpja74;mem;10;11
vpja75;free;9;6
vpja76;mem;15;12
vpja77;free;2;2
vpja78;mem;5;6
vpja81;free;3;5
vpja82;mem;7;9
vpja83;free;6;11
vpja84;mem;15;15
vpja85;free;4;3
vpja86;mem;15;10
vpja87;free;5;8
vpja88;mem;18;11
vpja89;free;6;7
vpja90;mem;13;15
vpja91;free;2;2
vpja92;mem;7;6
vpja93;free;2;2
vpja94;mem;10;13
vpja95;free;8;6
vpja96;mem;16;8
