pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15B;2063;l;Handtuch;1;Wasserglas;1
20C;2166;r;Schuessel;1;Kissen;1
3C;3786;r;Stethoskop;0;Fahrradhelm;0
11C;3775;r;Stuhl;1;Eimer;1
13C;3967;r;Laptop;1;Buch;1
9C;2141;r;Wasserflasche;1;Tasse;0
18C;2259;r;Handbesen;0;Ukulele;1
4D;2752;r;Kiste ;0;Ventilator;0
21C;2889;r;Handy;1;Stift;1
5A;3964;l;Foehn;0;Blackroll;0
22B;2704;l;Feder;1;Elefant;1
6A;2705;l;Globus;0;Obstschale;0
23C;2319;r;Hammer;1;Saege;1
1A;2171;l;Melone;1;Orange;1
24C;3629;r;Blume;1;Kanne;1
8C;3575;r;Marmelade;1;Uhr;1
12A;2616;l;Kamera;0;Fernglas;0
10C;2765;r;Brille;1;Buerste;1
19B;2015;l;Hut;0;Trommel;0
14A;2207;l;Kopfhoerer;0;Ordner;0
7D;2708;r;Toaster;0;Thermoskanne;1
16A;2109;l;Geldbeutel;0;Muetze;0
2A;2039;l;Locher;0;Zollstock ;0
26C;3443;r;Taschenlampe;1;Gluehbirne;0
25D;3670;r;Kaffemuehle;0;Kerze;1
17D;3940;r;Erdbeeren;0;Schuh;1
