trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;22C;12240,2;945,6;608,1;1;8533;0,539317942107114;0;0,104535333411461;0,142271182468065;0,423076923076923;0;0,0769230769230769;0,230769230769231;235;NA;1732;662;0,181818181818182;0,181818181818182;NA;0,272727272727273;0,272727272727273;NA
2;18B;13045,3;954,4;611,4;1;8779;0,445267114705547;0;0,159357557808406;0,289668527167103;0,409090909090909;0;0,136363636363636;0,318181818181818;324;NA;1589;1948;0,25;0,25;NA;0;0;NA
3;12B;13093;952,1;597;1;8685;0,388485895221647;0;0;0,23062751871042;0,36;0;0;0,2;201;NA;NA;2153;0;0;NA;0;0;NA
4;5B;13043;949,6;600,8;1;8587;0,327821124956329;0,0932805403516944;0,12856643763829;0,185396529637825;0,25;0,125;0,125;0,0833333333333333;277;1882;5393;3569;0;0;0;0,1;0,166666666666667;0
5;10D;13043;937,2;606;1;8397;0,306776229605812;0,0189353340478742;0,366797665833036;0,101583899011552;0,391304347826087;0,0434782608695652;0,0869565217391304;0,130434782608696;1151;156;4531;547;0;0;0;0;0;0
6;16D;13193,2;964,9;591,3;1;8310;0,625150421179302;0,059927797833935;0,132009626955475;0,054632972322503;0,576923076923077;0,0769230769230769;0,115384615384615;0,0769230769230769;925;4582;1556;387;0,117647058823529;0,133333333333333;0;0,0588235294117647;0;0,5
7;9A;12392,5;933,6;594,4;1;8094;0,441438102297999;0,0227328885594267;0,12960217445021;0,164813442055844;0,407407407407407;0,037037037037037;0,111111111111111;0,148148148148148;201;6396;2250;1871;0;0;0;0,0833333333333333;0,1;0
8;8D;12876,2;950,6;598,6;1;8774;0,425233644859813;0,115454752678368;0,397994073398678;0,0613175290631411;0,454545454545455;0,136363636363636;0,363636363636364;0,0454545454545455;179;4214;2265;1658;0,0769230769230769;0,111111111111111;0;0,0769230769230769;0,111111111111111;0
9;17B;13843,6;943,3;598,5;1;8119;0,49612021184875;0;0,113314447592068;0,118980169971671;0,379310344827586;0;0,103448275862069;0,137931034482759;258;NA;4231;2614;0;0;NA;0,0909090909090909;0,0909090909090909;NA
10;1D;13359,9;947,9;606,8;1;8646;0,630927596576452;0,0721721027064539;0,080499653018737;0,106985889428638;0,476190476190476;0,0952380952380952;0,142857142857143;0,0952380952380952;239;5975;1264;2264;0,166666666666667;0,111111111111111;0,333333333333333;0;0;0
11;7A;13126,4;953;610,5;1;8100;0,353333333333333;0,021358024691358;0,130123456790123;0,13037037037037;0,259259259259259;0,037037037037037;0,0740740740740741;0,148148148148148;215;4632;5389;4146;0,142857142857143;0,166666666666667;0;0,142857142857143;0,166666666666667;0
12;13A;12792,9;943,9;605,9;1;8745;0,521898227558605;0;0,205717552887364;0,240137221269297;0,333333333333333;0;0,333333333333333;0,285714285714286;231;NA;1061;2405;0,142857142857143;0,142857142857143;NA;0;0;NA
13;21C;13026,3;944,4;601,2;1;8304;0,334055876685935;0,163656069364162;0,0544315992292871;0,0671965317919075;0,241379310344828;0,206896551724138;0,0689655172413793;0,0344827586206897;217;3809;743;1212;0,0714285714285714;0,142857142857143;0;0;0;0
14;20A;13876,9;945,6;599,4;1;8203;0,41399487992198;0;0,0760697305863708;0,068633426795075;0,346153846153846;0;0,0769230769230769;0,0769230769230769;251;NA;746;3932;0,222222222222222;0,222222222222222;NA;0;0;NA
15;19D;12442,6;944,4;596,2;1;7934;0,280942777917822;0;0,135492815729771;0,0699521048651374;0,333333333333333;0;0,111111111111111;0,037037037037037;252;NA;806;1765;0,125;0,125;NA;0;0;NA
16;2B;14010,4;943,9;599,7;1;8488;0,341069745523091;0;0,170240339302545;0,143025447690858;0,296296296296296;0;0,222222222222222;0,148148148148148;193;NA;1337;2996;0,125;0,125;NA;0;0;NA
17;26A;13393,3;947,063804675879;600,619713608715;0;8547;0,406926406926407;0,146952146952147;0,0603720603720604;0,0689130689130689;0,413793103448276;0,206896551724138;0,0689655172413793;0,0689655172413793;321;147;1586;925;0;0;0;0,0555555555555556;0,0909090909090909;0
18;15B;13676,8;941;598,5;1;8427;0,392785095526285;0,277204224516435;0,0683517265930936;0,0450931529607215;0,333333333333333;0,259259259259259;0,0740740740740741;0,037037037037037;216;2926;1844;2498;0;0;0;0;0;0
19;4A;13526,7;950,474657534246;593,791095890411;1;8336;0,254678502879079;0,0419865642994242;0,0693378119001919;0,10052783109405;0,241379310344828;0,0344827586206897;0,0689655172413793;0,0689655172413793;184;1433;3013;3815;0,125;0,142857142857143;0;0;0;0
20;23C;13676,8;933,424861878453;596,423756906077;1;8075;0,300557275541796;0;0;0,0697213622291022;0,275862068965517;0;0;0,0689655172413793;261;NA;NA;1122;0;0;0;0,111111111111111;0,125;0
21;25D;12175,7;947,9;615,8;1;8534;0,385048043121631;0,141434262948207;0,210921021795172;0,166510428872744;0,458333333333333;0,166666666666667;0,166666666666667;0,166666666666667;166;4873;683;1162;0,2;0,2;0,2;0;0;0
22;6B;13076,4;945,8;603,5;1;8418;0,265027322404372;0,019719648372535;0,233428367783321;0,113566167735804;0,206896551724138;0,0344827586206897;0,206896551724138;0,0689655172413793;254;6685;1270;2054;0,142857142857143;0,166666666666667;0;0;0;0
23;14C;12942,9;943,1;598,2;1;8393;0,279637793399261;0;0,0430120338377219;0,0779220779220779;0,225806451612903;0;0,0645161290322581;0,0967741935483871;218;NA;1353;1118;0;0;0;0;0;0
24;3D;12409,2;964,695597484277;591,277987421384;1;8251;0,258392922070052;0;0,12362137922676;0;0,178571428571429;0;0,142857142857143;0;230;NA;1656;NA;0,333333333333333;0,4;0;0;0;0
25;24D;13693,5;955,9;589,5;1;8279;0,208841647541974;0,0729556709747554;0,137214639449209;0,0963884527116802;0,172413793103448;0,0689655172413793;0,172413793103448;0,0689655172413793;254;1153;899;3009;0,25;0,2;0,333333333333333;0,125;0,2;0
26;11D;0;939,9;602,7;1;8764;0,210862619808307;0,094591510725696;0,0654952076677316;0,0406207211319032;0,111111111111111;0,148148148148148;0,0740740740740741;0,0740740740740741;388;264;1474;2289;0,142857142857143;0,333333333333333;0;0,142857142857143;0;0,25
